127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:36 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:37 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET / HTTP/1.1" 404 1073
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:42 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:43 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:44 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-button.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-middle.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET / HTTP/1.1" 200 11248
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /tomcat.css HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /tomcat.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-nav.png HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
127.0.0.1 - - [03/Mar/2018:00:06:45 +0100] "GET /bg-upper.png HTTP/1.1" 304 -
